checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,normalized_frobenius_norm,runtime_seconds
step40000,40000,0,0,21825, clones,2,0,14.953100204467773,14.100520162686081,0.5570197626948357
step40000,40000,0,1,23778, motive,8,2,16.79497718811035,15.939743894142184,0.5338236168026924
step40000,40000,0,2,19211, cabinet,33,5,16.09908103942871,15.346873279858716,0.5268618389964104
step40000,40000,0,3,6574, miles,404,7,16.61532974243164,15.312819974961066,0.510986652225256
step40000,40000,64,0,21825, clones,2,0,1.0622210502624512,0.6999350312970852,0.5120390020310879
step40000,40000,64,1,23778, motive,8,2,1.0463509559631348,0.693537013252586,0.5366816073656082
step40000,40000,64,2,19211, cabinet,33,5,1.097590684890747,0.7144582030912117,0.5976364687085152
step40000,40000,64,3,6574, miles,404,7,1.0603878498077393,0.6823947352054579,0.5631044469773769
step40000,40000,128,0,21825, clones,2,0,1.022802710533142,0.6821041326849754,0.5621756576001644
step40000,40000,128,1,23778, motive,8,2,1.0298749208450317,0.6996522259435771,0.5485206358134747
step40000,40000,128,2,19211, cabinet,33,5,1.0058754682540894,0.6968816185630164,0.49758483096957207
step40000,40000,128,3,6574, miles,404,7,1.0332083702087402,0.6896134366841613,0.5700247921049595
step40000,40000,192,0,21825, clones,2,0,1.0212633609771729,0.6720288864015976,0.5970576852560043
step40000,40000,192,1,23778, motive,8,2,1.0456290245056152,0.6712114061278803,0.5583968125283718
step40000,40000,192,2,19211, cabinet,33,5,1.0910630226135254,0.6840456694084782,0.5768700689077377
step40000,40000,192,3,6574, miles,404,7,0.986689031124115,0.6691349573422941,0.5493529811501503
step40000,40000,256,0,21825, clones,2,0,1.063868761062622,0.6991028839200861,0.5504646673798561
step40000,40000,256,1,23778, motive,8,2,1.059317708015442,0.6946737559037733,0.5137186609208584
step40000,40000,256,2,19211, cabinet,33,5,1.049005150794983,0.7031733001087228,0.556371659040451
step40000,40000,256,3,6574, miles,404,7,1.0349783897399902,0.6892031792607562,0.5729694254696369
step40000,40000,320,0,21825, clones,2,0,1.029004454612732,0.6704954576122257,0.5614723898470402
step40000,40000,320,1,23778, motive,8,2,1.0684274435043335,0.68585562367093,0.5921105444431305
step40000,40000,320,2,19211, cabinet,33,5,0.9811624884605408,0.6572663205079293,0.5138935409486294
step40000,40000,320,3,6574, miles,404,7,1.0312376022338867,0.6890295342448914,0.5527724325656891
step40000,40000,384,0,21825, clones,2,0,1.0536123514175415,0.6926116370466808,0.553010243922472
step40000,40000,384,1,23778, motive,8,2,1.0331053733825684,0.6788814160604384,0.5101025477051735
step40000,40000,384,2,19211, cabinet,33,5,1.000206470489502,0.6898916901780302,0.5833070687949657
step40000,40000,384,3,6574, miles,404,7,1.0125094652175903,0.6654870211631307,0.5746778734028339
step40000,40000,448,0,21825, clones,2,0,1.0504603385925293,0.6867287799315303,0.582487415522337
step40000,40000,448,1,23778, motive,8,2,0.9837777018547058,0.66484794849916,0.5609646290540695
step40000,40000,448,2,19211, cabinet,33,5,1.024178385734558,0.695570303665297,0.5393913090229034
step40000,40000,448,3,6574, miles,404,7,0.9960459470748901,0.6701953299039797,0.5460494570434093
step40000,40000,512,0,21825, clones,2,0,1.0248435735702515,0.6737778541742542,0.5714920870959759
step40000,40000,512,1,23778, motive,8,2,1.0482686758041382,0.6906224743843606,0.600266844034195
step40000,40000,512,2,19211, cabinet,33,5,1.0258673429489136,0.6682186427088187,0.5897657498717308
