checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_per_step,geometric_tangent_factor_per_step,overall_lyapunov_0_1024
step3000,512,768,768,0,21825, clones,2,0,-0.042958904057741165,0.957950757147114,-0.04033512622117996
step3000,512,768,768,1,23778, motive,8,2,-0.04295892268419266,0.9579507393038909,-0.04064321517944336
step3000,512,768,768,2,19211, cabinet,33,5,-0.042958904057741165,0.957950757147114,-0.03906543552875519
step3000,512,768,768,3,6574, miles,404,7,-0.042958926409482956,0.9579507357352463,-0.038807131350040436
step3000,768,1024,1024,0,21825, clones,2,0,-0.042958907783031464,0.9579507535784694,-0.04033512622117996
step3000,768,1024,1024,1,23778, motive,8,2,-0.04295891523361206,0.9579507464411801,-0.04064321517944336
step3000,768,1024,1024,2,19211, cabinet,33,5,-0.04295891523361206,0.9579507464411801,-0.03906543552875519
step3000,768,1024,1024,3,6574, miles,404,7,-0.04295891523361206,0.9579507464411801,-0.038807131350040436
step4000,0,256,256,0,21825, clones,2,0,0.0024947705678641796,1.002497885097431,-0.00418278481811285
step4000,0,256,256,1,23778, motive,8,2,-0.012506647035479546,0.9875712360510198,-0.022437429055571556
step4000,0,256,256,2,19211, cabinet,33,5,-0.010533280670642853,0.9895220000641164,-0.022001244127750397
step4000,0,256,256,3,6574, miles,404,7,0.005708805285394192,1.0057251315673568,-0.003234917065128684
step4000,256,512,512,0,21825, clones,2,0,-0.005433517508208752,0.9945812173486003,-0.00418278481811285
step4000,256,512,512,1,23778, motive,8,2,-0.02598518505692482,0.9743495244345634,-0.022437429055571556
step4000,256,512,512,2,19211, cabinet,33,5,-0.025860581547021866,0.9744709393693866,-0.022001244127750397
step4000,256,512,512,3,6574, miles,404,7,-0.0058042374439537525,0.9942125745994418,-0.003234917065128684
step4000,512,768,768,0,21825, clones,2,0,-0.006829231046140194,0.9931940351586434,-0.00418278481811285
step4000,512,768,768,1,23778, motive,8,2,-0.025835972279310226,0.9744949206806908,-0.022437429055571556
step4000,512,768,768,2,19211, cabinet,33,5,-0.025985078886151314,0.9743496278820115,-0.022001244127750397
step4000,512,768,768,3,6574, miles,404,7,-0.0062260921113193035,0.9937932498377661,-0.003234917065128684
step4000,768,1024,1024,0,21825, clones,2,0,-0.006963162217289209,0.9930610244256768,-0.00418278481811285
step4000,768,1024,1024,1,23778, motive,8,2,-0.025421904399991035,0.9748985112770892,-0.022437429055571556
step4000,768,1024,1024,2,19211, cabinet,33,5,-0.025626029819250107,0.974699530018997,-0.022001244127750397
step4000,768,1024,1024,3,6574, miles,404,7,-0.006618143059313297,0.9934037086170491,-0.003234917065128684
step5000,0,256,256,0,21825, clones,2,0,0.01676235720515251,1.0169036337869846,0.007300899364054203
step5000,0,256,256,1,23778, motive,8,2,0.012532581575214863,1.0126114434790758,0.01086034532636404
step5000,0,256,256,2,19211, cabinet,33,5,0.02102329023182392,1.0212458364128303,0.01235616859048605
step5000,0,256,256,3,6574, miles,404,7,0.018734930083155632,1.0189115300242977,0.006553443614393473
step5000,256,512,512,0,21825, clones,2,0,0.008427739143371582,1.0084633525133333,0.007300899364054203
