checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,operator_norm_2,jacobian_frobenius_norm,runtime_seconds,proof_pile2_test_loss
step0,0,0,0,21825, clones,2,0,39.21004104614258,128.96591186523438,843.2689208984375,0.6783140935003757,11.087031924535358
step0,0,0,1,46808, trustworthy,3,1,38.10404586791992,126.7135238647461,804.8074951171875,0.48990989848971367,11.087031924535358
step0,0,0,2,23778, motive,8,2,42.15044403076172,129.71823120117188,846.1536865234375,0.5278623886406422,11.087031924535358
step0,0,0,3,42548, generosity,8,3,41.6956672668457,122.59896850585938,809.4429321289062,0.5504729263484478,11.087031924535358
step0,0,0,4,29254, critique,18,4,42.053279876708984,134.48336791992188,870.2232055664062,0.49876806885004044,11.087031924535358
step0,0,0,5,19211, cabinet,33,5,48.083003997802734,151.33937072753906,978.1092529296875,0.4880116917192936,11.087031924535358
step0,0,0,6,14290, documented,48,6,37.35150146484375,115.51541900634766,757.6068115234375,0.519451942294836,11.087031924535358
step0,0,0,7,6574, miles,404,7,41.66276550292969,126.37971496582031,832.5535278320312,0.48305869847536087,11.087031924535358
step0,0,64,0,21825, clones,2,0,1.067204475402832,1.3697876930236816,15.694072723388672,0.6135461367666721,11.087031924535358
step0,0,64,1,46808, trustworthy,3,1,0.9910351037979126,1.2753515243530273,14.881186485290527,0.590803649276495,11.087031924535358
step0,0,64,2,23778, motive,8,2,1.0377436876296997,1.3569101095199585,15.583513259887695,0.5591679513454437,11.087031924535358
step0,0,64,3,42548, generosity,8,3,1.0441402196884155,1.3685272932052612,15.661176681518555,0.5963357016444206,11.087031924535358
step0,0,64,4,29254, critique,18,4,1.042283535003662,1.335706114768982,15.51301097869873,0.5584120899438858,11.087031924535358
step0,0,64,5,19211, cabinet,33,5,1.020139217376709,1.3295373916625977,15.439370155334473,0.5249314084649086,11.087031924535358
step0,0,64,6,14290, documented,48,6,1.0522127151489258,1.3343414068222046,15.395143508911133,0.5382057428359985,11.087031924535358
step0,0,64,7,6574, miles,404,7,1.0062589645385742,1.3181545734405518,15.2888822555542,0.5860517099499702,11.087031924535358
step0,0,128,0,21825, clones,2,0,1.067193627357483,1.3581358194351196,15.673659324645996,0.5639415271580219,11.087031924535358
step0,0,128,1,46808, trustworthy,3,1,1.0055843591690063,1.2979812622070312,15.199817657470703,0.6096781715750694,11.087031924535358
step0,0,128,2,23778, motive,8,2,1.0340665578842163,1.3674458265304565,15.611137390136719,0.5663678273558617,11.087031924535358
step0,0,128,3,42548, generosity,8,3,0.9940781593322754,1.3039051294326782,15.185266494750977,0.5687475949525833,11.087031924535358
step0,0,128,4,29254, critique,18,4,1.0283629894256592,1.3460456132888794,15.525233268737793,0.5766962245106697,11.087031924535358
step0,0,128,5,19211, cabinet,33,5,1.0230727195739746,1.3357317447662354,15.430001258850098,0.5536391101777554,11.087031924535358
step0,0,128,6,14290, documented,48,6,1.0055947303771973,1.3204838037490845,15.221208572387695,0.5891398265957832,11.087031924535358
step0,0,128,7,6574, miles,404,7,1.0120539665222168,1.3298989534378052,15.449346542358398,0.5249110870063305,11.087031924535358
step0,0,192,0,21825, clones,2,0,1.018385887145996,1.3072599172592163,15.269639015197754,0.588553074747324,11.087031924535358
step0,0,192,1,46808, trustworthy,3,1,1.0220043659210205,1.3354562520980835,15.463183403015137,0.5517252124845982,11.087031924535358
step0,0,192,2,23778, motive,8,2,1.0510356426239014,1.3586910963058472,15.638381958007812,0.5511063672602177,11.087031924535358
step0,0,192,3,42548, generosity,8,3,1.0326184034347534,1.3544338941574097,15.644893646240234,0.5765761435031891,11.087031924535358
step0,0,192,4,29254, critique,18,4,1.041685700416565,1.3626365661621094,15.782048225402832,0.6282716020941734,11.087031924535358
step0,0,192,5,19211, cabinet,33,5,1.037172794342041,1.3808696269989014,15.80548095703125,0.511264119297266,11.087031924535358
step0,0,192,6,14290, documented,48,6,1.0259034633636475,1.3188836574554443,15.234540939331055,0.5068200416862965,11.087031924535358
step0,0,192,7,6574, miles,404,7,1.0397917032241821,1.3643742799758911,15.687691688537598,0.5704649686813354,11.087031924535358
step0,0,256,0,21825, clones,2,0,1.021628499031067,1.3547420501708984,15.605077743530273,0.5364641286432743,11.087031924535358
step0,0,256,1,46808, trustworthy,3,1,1.0306566953659058,1.3795143365859985,15.684526443481445,0.6552160605788231,11.087031924535358
step0,0,256,2,23778, motive,8,2,0.9840095043182373,1.2812188863754272,14.916282653808594,0.5572703629732132,11.087031924535358
step0,0,256,3,42548, generosity,8,3,1.051813006401062,1.362571120262146,15.66695785522461,0.5727015174925327,11.087031924535358
step0,0,256,4,29254, critique,18,4,1.0155813694000244,1.3421311378479004,15.47984790802002,0.5442576929926872,11.087031924535358
step0,0,256,5,19211, cabinet,33,5,1.003301978111267,1.316784143447876,15.265928268432617,0.49751776084303856,11.087031924535358
step0,0,256,6,14290, documented,48,6,1.0008273124694824,1.3047571182250977,15.070761680603027,0.5892909578979015,11.087031924535358
step0,0,256,7,6574, miles,404,7,1.0038470029830933,1.3288869857788086,15.394627571105957,0.5526923649013042,11.087031924535358
step0,0,320,0,21825, clones,2,0,1.0634211301803589,1.3975012302398682,15.725038528442383,0.5704009383916855,11.087031924535358
step0,0,320,1,46808, trustworthy,3,1,1.0226268768310547,1.335564374923706,15.430925369262695,0.5841921605169773,11.087031924535358
step0,0,320,2,23778, motive,8,2,1.0019487142562866,1.3139548301696777,15.202983856201172,0.5600509345531464,11.087031924535358
step0,0,320,3,42548, generosity,8,3,1.0323961973190308,1.3448582887649536,15.565990447998047,0.5705173797905445,11.087031924535358
step0,0,320,4,29254, critique,18,4,1.0242345333099365,1.3362784385681152,15.420132637023926,0.547375600785017,11.087031924535358
